Target Value,"Knapsack (3, 11, 23)",Total Coins,Execution Time (µs),Combination,Satisfiability
153,"[0, 11, 1]",12,2620.9354400634766,[],Unsatisfiable
59,"[0, 6, 6]",12,2598.0472564697266,[],Unsatisfiable
117,"[0, 6, 6]",12,2627.134323120117,[],Unsatisfiable
25,"[8, 4, 0]",12,2441.883087158203,"[3, 11, 11]",Satisfiable
124,"[5, 2, 5]",12,2599.954605102539,"[3, 3, 3, 23, 23, 23, 23, 23]",Satisfiable
98,"[11, 1, 0]",12,2616.88232421875,[],Unsatisfiable
71,"[2, 6, 4]",12,2380.1326751708984,"[3, 11, 11, 23, 23]",Satisfiable
35,"[2, 5, 5]",12,2624.988555908203,[],Unsatisfiable
139,"[8, 4, 0]",12,2641.916275024414,[],Unsatisfiable
80,"[0, 8, 5]",13,5347.013473510742,"[11, 23, 23, 23]",Satisfiable
162,"[2, 0, 11]",13,5680.79948425293,[],Unsatisfiable
139,"[4, 0, 9]",13,5705.833435058594,[],Unsatisfiable
44,"[5, 5, 3]",13,5304.813385009766,"[11, 11, 11, 11]",Satisfiable
107,"[6, 5, 2]",13,5760.908126831055,"[3, 3, 11, 11, 11, 11, 11, 23, 23]",Satisfiable
58,"[2, 6, 5]",13,5937.814712524414,"[3, 11, 11, 11, 11, 11]",Satisfiable
104,"[4, 9, 0]",13,5655.050277709961,[],Unsatisfiable
41,"[1, 1, 11]",13,5549.192428588867,[],Unsatisfiable
147,"[11, 1, 1]",13,5623.102188110352,[],Unsatisfiable
103,"[2, 2, 9]",13,5095.958709716797,"[11, 23, 23, 23, 23]",Satisfiable
163,"[9, 0, 4]",13,5639.076232910156,[],Unsatisfiable
80,"[13, 0, 0]",13,5661.964416503906,[],Unsatisfiable
36,"[10, 2, 1]",13,5754.232406616211,[],Unsatisfiable
93,"[7, 6, 0]",13,5685.091018676758,[],Unsatisfiable
29,"[8, 4, 1]",13,5316.019058227539,"[3, 3, 3, 3, 3, 3, 11]",Satisfiable
189,"[0, 6, 7]",13,5831.95686340332,[],Unsatisfiable
197,"[2, 7, 4]",13,5955.696105957031,[],Unsatisfiable
73,"[2, 11, 0]",13,5867.00439453125,[],Unsatisfiable
195,"[7, 2, 4]",13,6115.67497253418,[],Unsatisfiable
153,"[8, 5, 0]",13,5757.808685302734,[],Unsatisfiable
101,"[7, 6, 0]",13,5754.947662353516,[],Unsatisfiable
122,"[8, 3, 2]",13,5713.939666748047,[],Unsatisfiable
29,"[2, 1, 10]",13,5124.807357788086,"[3, 3, 23]",Satisfiable
185,"[3, 7, 3]",13,5773.067474365234,[],Unsatisfiable
167,"[5, 3, 5]",13,5774.974822998047,[],Unsatisfiable
79,"[2, 10, 1]",13,5772.113800048828,[],Unsatisfiable
141,"[12, 0, 1]",13,5819.797515869141,[],Unsatisfiable
105,"[1, 0, 12]",13,5780.935287475586,[],Unsatisfiable
75,"[3, 2, 8]",13,5351.781845092773,"[3, 3, 23, 23, 23]",Satisfiable
194,"[8, 2, 3]",13,5538.9404296875,[],Unsatisfiable
21,"[3, 7, 3]",13,5912.065505981445,[],Unsatisfiable
133,"[10, 3, 0]",13,5720.1385498046875,[],Unsatisfiable
199,"[9, 0, 4]",13,5717.992782592773,[],Unsatisfiable
